ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Tindivanam,55,GEN,"Thangamani Gounder, K. M",Indian National Congress (I),"1,07,921","71,404",66.20%,"5,476",7.70%
Vanur,56,SC,"Muthuvel, N",Dravida Munetra Kazhagam,"1,23,245","74,770",60.70%,"5,248",7.00%
Kandamangalam,57,SC,"Kannan, M",All India Anna Dravida Munnetra Kazhagam,"1,34,779","70,444",52.30%,"2,357",3.30%
Villupuram,58,GEN,"Palaniappan, K. P",Dravida Munetra Kazhagam,"1,33,842","89,438",66.80%,"5,160",5.80%
Mugaiyur,59,GEN,"Sundaramurthy, R",Indian National Congress (I),"1,20,828","75,703",62.70%,"7,601",10.00%
Thirunavalur,60,GEN,"Subramanian, V",Dravida Munetra Kazhagam,"1,07,743","77,139",71.60%,173,0.20%
Ulundurpet,61,SC,"Rangasamy, K",Dravida Munetra Kazhagam,"1,31,665","73,967",56.20%,"9,955",13.50%
Nellikuppam,62,GEN,"Krishnamoorthi, V",Dravida Munetra Kazhagam,"1,11,615","74,462",66.70%,"12,111",16.30%
Cuddalore,63,GEN,Babu Govindarajan,Dravida Munetra Kazhagam,"1,33,227","83,610",62.80%,"3,141",3.80%
Panruti,64,GEN,"Ramachandran, S",All India Anna Dravida Munnetra Kazhagam,"1,12,744","87,102",77.30%,"4,487",5.20%
Kurinjipadi,65,GEN,"Thangarasu, A",All India Anna Dravida Munnetra Kazhagam,"1,15,509","78,410",67.90%,"2,959",3.80%
Bhuvanagiri,66,GEN,"Swaminathan, V .V",All India Anna Dravida Munnetra Kazhagam,"1,18,301","85,123",72.00%,"6,324",7.40%
Kattumannarkoil,67,SC,"Ramalingam, E",Dravida Munetra Kazhagam,"1,05,613","74,916",70.90%,"14,662",19.60%
Chidambaram,68,GEN,"Ganapathy, K. R",All India Anna Dravida Munnetra Kazhagam,"1,12,269","81,763",72.80%,"3,267",4.00%
Vridhachalam,69,GEN,"Thiyagarajan, R",Indian National Congress (I),"1,24,287","88,899",71.50%,"4,148",4.70%
Mangalore,70,SC,"Kaliamoorthy, P",All India Anna Dravida Munnetra Kazhagam,"1,30,395","85,086",65.30%,"1,183",1.40%
Rishivandiam,71,GEN,"Sundaram, M",Indian National Congress (I),"1,08,377","76,451",70.50%,"4,921",6.40%
Chinnasalem,72,GEN,"Sivaraman, S",Indian National Congress (I),"1,15,587","76,384",66.10%,"5,247",6.90%
Sankarapuram,73,GEN,"Kalitheerthan, S",All India Anna Dravida Munnetra Kazhagam,"1,13,528","74,274",65.40%,"3,541",4.80%
Hosur,74,GEN,"Venkata Reddy, T",Indian National Congress (I),"1,06,169","52,921",49.80%,"4,412",8.30%
Thalli,75,GEN,"Rajaram Naidu, D.R",Indian National Congress (I),"1,12,047","62,815",56.10%,"2,957",4.70%
Kaveripattinam,76,GEN,"Samarasam, K",All India Anna Dravida Munnetra Kazhagam,"1,10,686","70,859",64.00%,"3,523",5.00%
Krishnagiri,77,GEN,"Chinnarasu, K. R",All India Anna Dravida Munnetra Kazhagam,"1,06,266","57,662",54.30%,"1,797",3.10%
Bargur,78,GEN,"Doraisamy, Bn.S",All India Anna Dravida Munnetra Kazhagam,"1,13,106","70,728",62.50%,"10,848",15.30%
Harur,79,SC,"Sabapathy, C.",All India Anna Dravida Munnetra Kazhagam,"1,24,169","70,223",56.60%,"12,608",18.00%
Morappur,80,GEN,"Kuppusamy, N.",All India Anna Dravida Munnetra Kazhagam,"1,06,081","76,413",72.00%,"13,129",17.20%
Palacode,81,GEN,"Munusamy, M.B.",All India Anna Dravida Munnetra Kazhagam,"1,13,628","75,709",66.60%,"4,135",5.50%
Dharmapuri,82,GEN,"Aranganathan, S.",All India Anna Dravida Munnetra Kazhagam,"1,14,697","74,964",65.40%,"1,505",2.00%
Pennagaram,83,GEN,"Theertha Raman, P",Gandhi Kamraj National Congress,"1,12,908","66,802",59.20%,"7,109",10.60%
Mettur,84,GEN,"Nachimuthu, K.P",All India Anna Dravida Munnetra Kazhagam,"1,26,625","84,911",67.10%,"18,868",22.20%
Taramangalam,85,GEN,"Semmalai, S",Independent,"1,19,790","83,584",69.80%,"22,383",26.80%
Omalur,86,GEN,"Sivaperuman, M",All India Anna Dravida Munnetra Kazhagam,"1,15,489","74,250",64.30%,"11,952",16.10%
Yercaud,87,ST,Thiruman,All India Anna Dravida Munnetra Kazhagam,"99,409","57,141",57.50%,"1,849",3.20%
Salem-I,88,GEN,"Krishnaraj, G",All India Anna Dravida Munnetra Kazhagam,"1,38,312","97,777",70.70%,"19,231",19.70%
Salem-Ii,89,GEN,"Arumugam, M",All India Anna Dravida Munnetra Kazhagam,"1,23,202","80,162",65.10%,"4,740",5.90%
Veerapandi,90,GEN,Vijayalakshmi Pandit,All India Anna Dravida Munnetra Kazhagam,"1,25,608","89,183",71.00%,"15,973",17.90%
Panamarathupatty,91,GEN,"Rajaram, K",All India Anna Dravida Munnetra Kazhagam,"1,13,432","78,923",69.60%,"12,604",16.00%
Attur,92,GEN,"Palanimuthu, C",Indian National Congress (I),"1,13,439","73,095",64.40%,"6,891",9.40%
Talavasal,93,SC,"Rajambal, T.",Indian National Congress (I),"1,31,995","74,433",56.40%,"3,499",4.70%
Rasipuram,94,GEN,"Ramalingam, K. P",All India Anna Dravida Munnetra Kazhagam,"1,26,614","86,692",68.50%,"15,604",18.00%
Sendamangalam,95,ST,"Sivaprakasam, S.",All India Anna Dravida Munnetra Kazhagam,"1,29,835","70,162",54.00%,"7,034",10.00%
Namakkal,96,SC,Arunachalam R.,All India Anna Dravida Munnetra Kazhagam,"1,34,869","83,743",62.10%,"3,893",4.60%
Kapilamalai,97,GEN,Velappan C. V.,All India Anna Dravida Munnetra Kazhagam,"1,31,117","88,345",67.40%,"5,401",6.10%
Tiruchengode,98,GEN,"Ponnaiyan, C.",All India Anna Dravida Munnetra Kazhagam,"1,88,698","1,26,809",67.20%,"17,076",13.50%
Sankari,99,SC,"Dhanapal, P.",All India Anna Dravida Munnetra Kazhagam,"1,48,309","82,243",55.50%,"12,555",15.30%
Edapadi,100,GEN,"Ganesan, I.",All India Anna Dravida Munnetra Kazhagam,"1,43,256","98,875",69.00%,"5,819",5.90%
Mettupalayam,101,GEN,"Palanisamy, S.",All India Anna Dravida Munnetra Kazhagam,"1,40,096","83,099",59.30%,"15,955",19.20%
Avanashi,102,SC,"Arumugam, M.",Communist Party Of India,"1,30,646","62,625",47.90%,"9,671",15.40%
Thondamuthur,103,GEN,"Chinnaraj,",All India Anna Dravida Munnetra Kazhagam,"1,65,819","1,02,139",61.60%,"15,149",14.80%
Singanallur,104,GEN,"Kulasekar, A. D.",Dravida Munetra Kazhagam,"1,48,591","99,859",67.20%,"3,221",3.20%
Coimbatore West,105,GEN,"Aranganayagam, C.",All India Anna Dravida Munnetra Kazhagam,"1,34,754","79,658",59.10%,"2,427",3.00%
Coimbatore East,106,GEN,"Ramani, K.",Communist Party Of India (MARXIST),"1,40,417","74,845",53.30%,133,0.20%
Perur,107,GEN,Kovaithambi,All India Anna Dravida Munnetra Kazhagam,"1,49,766","99,725",66.60%,485,0.50%
Kinathukkadavu,108,GEN,"Kandasamy, K. V.",All India Anna Dravida Munnetra Kazhagam,"1,18,093","81,786",69.30%,"5,729",7.00%
Pollachi,109,GEN,"Rathinam, M. V.",All India Anna Dravida Munnetra Kazhagam,"1,34,946","94,943",70.40%,"13,036",13.70%
Valparai,110,SC,"Karuppiah, A. T.",Communist Party Of India,"1,16,974","83,022",71.00%,"13,052",15.70%
Udumalpet,111,GEN,"Kolandaivelu, P.",All India Anna Dravida Munnetra Kazhagam,"1,34,138","98,410",73.40%,"4,521",4.60%
Dharapuram,112,SC,"Periasamy, A.",All India Anna Dravida Munnetra Kazhagam,"1,22,884","78,720",64.10%,"10,432",13.30%
Vellakoil,113,GEN,"Ramasami, D.",All India Anna Dravida Munnetra Kazhagam,"1,26,161","92,510",73.30%,"24,951",27.00%
Pongalur,114,GEN,"Kandaswamy, P.",All India Anna Dravida Munnetra Kazhagam,"1,09,334","69,918",63.90%,"13,696",19.60%
Palladam,115,GEN,Paramasiva Gounder,All India Anna Dravida Munnetra Kazhagam,"1,28,604","84,714",65.90%,"7,960",9.40%
Tiruppur,116,GEN,"Manimaran, R.",All India Anna Dravida Munnetra Kazhagam,"1,59,871","1,12,580",70.40%,"24,095",21.40%
Kangayam,117,GEN,"Krishnaswamy, K. G.",All India Anna Dravida Munnetra Kazhagam,"1,26,155","83,177",65.90%,"11,609",14.00%
Modakurichi,118,GEN,"Balakrishnan, S.",All India Anna Dravida Munnetra Kazhagam,"1,45,802","97,347",66.80%,"17,647",18.10%
Perundurai,119,GEN,"Nallapan, T. K.",Communist Party Of India,"1,29,785","82,006",63.20%,"11,667",14.20%
Erode,120,GEN,"Muthusamy, S.",All India Anna Dravida Munnetra Kazhagam,"1,75,563","1,11,480",63.50%,"18,503",16.60%
Bhavani,121,GEN,"Narayanan, P. G.",All India Anna Dravida Munnetra Kazhagam,"1,19,674","73,679",61.60%,"21,226",28.80%
Andhiyur,122,SC,"Guruswamy, P.",All India Anna Dravida Munnetra Kazhagam,"1,08,662","61,565",56.70%,"13,836",22.50%
Gobichettipalayam,123,GEN,"Sengottayan, K. A.",All India Anna Dravida Munnetra Kazhagam,"1,14,861","76,368",66.50%,"15,013",19.70%
Bhavanisagar,124,GEN,"Subramaniam, G. K.",All India Anna Dravida Munnetra Kazhagam,"1,21,236","81,368",67.10%,"10,705",13.20%
Sathyamangalam,125,GEN,"Rangasamy, R.",All India Anna Dravida Munnetra Kazhagam,"1,13,957","72,021",63.20%,60,0.10%
Coonoor,126,SC,"Ranganathan, M.",Dravida Munetra Kazhagam,"1,12,613","61,386",54.50%,"11,668",19.00%
Ootacamund,127,GEN,"Kallan, K.",Indian National Congress (I),"1,11,534","69,347",62.20%,"9,900",14.30%
Gudalur,128,GEN,"Hutchi, K.",Dravida Munetra Kazhagam,"1,14,612","64,054",55.90%,"13,144",20.50%
Palani,129,SC,"Palanivel, N.",Communist Party Of India (MARXIST),"1,29,839","79,942",61.60%,"6,228",7.80%
Oddanchatram,130,GEN,"Kuppuswamy, K.",All India Anna Dravida Munnetra Kazhagam,"1,31,378","79,193",60.30%,"11,387",14.40%
Periyakulam,131,GEN,"Gopalakrishnan, K.",All India Anna Dravida Munnetra Kazhagam,"1,26,755","82,116",64.80%,"8,836",10.80%
Theni,132,GEN,"Jeyaraman, V. R.",All India Anna Dravida Munnetra Kazhagam,"1,32,271","94,327",71.30%,"10,119",10.70%
Bodinayakkanur,133,GEN,"Subramanian, K. M. S.",All India Anna Dravida Munnetra Kazhagam,"1,31,024","86,259",65.80%,"16,959",19.70%
Cumbum,134,GEN,"Gopalan, R. T.",All India Anna Dravida Munnetra Kazhagam,"1,31,390","97,743",74.40%,"12,182",12.50%
Andipatti,135,GEN,"Rajendran, S. S.",All India Anna Dravida Munnetra Kazhagam,"1,26,984","75,545",59.50%,"27,982",37.00%
Sedapatti,136,GEN,"Muthiah, R.",All India Anna Dravida Munnetra Kazhagam,"1,18,078","71,286",60.40%,"13,855",19.40%
Thirumangalam,137,GEN,"Chitthan, N. S. V.",Indian National Congress (I),"1,17,383","76,864",65.50%,"3,502",4.60%
Usilampatti,138,GEN,"Andi Thevar, S.",All India Forward Bloc,"1,22,773","72,102",58.70%,"12,323",17.10%
Nilakottai,139,SC,"Ponnammal, A. S.",Independent,"1,23,442","80,581",65.30%,"18,412",22.80%
Sholavandan,140,GEN,"Chandrasekaran, A.",Indian National Congress (I),"1,14,795","84,264",73.40%,465,0.60%
Tirupparankundram,141,GEN,"Kalimuthu, K.",All India Anna Dravida Munnetra Kazhagam,"1,61,546","1,02,199",63.30%,"22,507",22.00%
Madurai West,142,GEN,"Ramachandran, M. G.",All India Anna Dravida Munnetra Kazhagam,"1,52,756","96,495",63.20%,"21,066",21.80%
Madurai Central,143,GEN,"Nedumaran, P.",Independent,"1,33,812","79,199",59.20%,"14,134",17.80%
Madurai East,144,GEN,"Sankariah, N.",Communist Party Of India (MARXIST),"1,32,153","75,348",57.00%,"5,939",7.90%
Samayanallur,145,SC,"Baluchamy, A.",All India Anna Dravida Munnetra Kazhagam,"1,52,150","95,389",62.70%,"7,654",8.00%
Melur,146,GEN,"Veeranambalam, K. V.",Indian National Congress (I),"1,37,381","1,00,156",72.90%,"12,154",12.10%
Natham,147,GEN,"Andi Ambalam, M.",Indian National Congress (I),"1,17,138","71,405",61.00%,"4,388",6.10%
Dindigul,148,GEN,"Varadarajan, N.",Independent,"1,58,089","1,01,523",64.20%,"11,519",11.30%
Athoor,149,GEN,"Vellaisamy, A.",All India Anna Dravida Munnetra Kazhagam,"1,53,445","96,498",62.90%,"16,369",17.00%
Vedasandur,150,GEN,"Balasubramanian, V. P.",All India Anna Dravida Munnetra Kazhagam,"1,56,681","92,832",59.20%,"25,271",27.20%
Aravakurichi,151,GEN,"Sennimalai Alias, Kandahsamy P. S.",All India Anna Dravida Munnetra Kazhagam,"1,35,591","88,452",65.20%,"4,912",5.60%
Karur,152,GEN,"Chinnasamy, M.",All India Anna Dravida Munnetra Kazhagam,"1,51,461","1,07,841",71.20%,"8,306",7.70%
Krishnarayapuram,153,SC,"Thangavelraj, P. M.",Indian National Congress (I),"1,25,588","79,827",63.60%,"9,039",11.30%
Marungapuri,154,GEN,"Raj Kumar, M. A.",All India Anna Dravida Munnetra Kazhagam,"1,16,714","77,143",66.10%,"3,577",4.60%
Kulithalai,155,GEN,"Karuppaiah, R.",Communist Party Of India,"1,20,320","85,017",70.70%,"8,189",9.60%
Thottiam,156,GEN,"Periasami, R.",Indian National Congress (I),"1,21,278","88,181",72.70%,307,0.30%
Uppiliapuram,157,ST,"Arengarajan, V.",All India Anna Dravida Munnetra Kazhagam,"1,28,076","88,643",69.20%,"2,266",2.60%
Musiri,158,GEN,"Rajamanickam, M. K.",All India Anna Dravida Munnetra Kazhagam,"1,35,272","1,04,678",77.40%,"4,526",4.30%
Lalgudi,159,GEN,Anbil Dharmalingam,Dravida Munetra Kazhagam,"1,30,260","1,00,892",77.50%,"2,800",2.80%
Perambalur,160,SC,"Raju, J. S.",Dravida Munetra Kazhagam,"1,21,376","70,968",58.50%,"4,456",6.30%
Varahur,161,SC,"Perumal, N.",All India Anna Dravida Munnetra Kazhagam,"1,17,112","75,094",64.10%,"6,199",8.30%
Ariyalur,162,GEN,"Arumugam, T.",Dravida Munetra Kazhagam,"1,16,590","88,716",76.10%,"9,204",10.40%
Andimadam,163,GEN,"Krishnamoorthy, S.",All India Anna Dravida Munnetra Kazhagam,"1,01,568","72,601",71.50%,708,1.00%
Jayankondam,164,GEN,"Thangavelu, P.",Indian National Congress (I),"1,18,164","88,026",74.50%,"4,907",5.60%
Srirangam,165,GEN,"Soundararajan, R.",All India Anna Dravida Munnetra Kazhagam,"1,29,664","93,051",71.80%,"6,399",6.90%
Tiruchirapalli-I,166,GEN,"Musiri Putthan, P.",All India Anna Dravida Munnetra Kazhagam,"1,05,277","71,693",68.10%,"2,178",3.00%
Tiruchirapalli-Ii,167,GEN,"Soundararajan, K.",All India Anna Dravida Munnetra Kazhagam,"1,25,957","78,400",62.20%,"8,562",10.90%
Thiruverambur,168,GEN,"Gurusamy Alias Annadasan, N.",All India Anna Dravida Munnetra Kazhagam,"1,33,342","91,442",68.60%,"11,965",13.10%
Sirkali,169,SC,"Balasubramanian, K.",All India Anna Dravida Munnetra Kazhagam,"1,16,654","86,875",74.50%,"13,280",15.30%
Poompuhar,170,GEN,"Vijayabalan, N.",All India Anna Dravida Munnetra Kazhagam,"1,09,786","86,389",78.70%,"5,705",6.60%
Mayuram,171,GEN,"Kittappa, N.",Dravida Munetra Kazhagam,"1,09,869","78,001",71.00%,670,0.90%
Kuttalam,172,GEN,"Rajamanickam, R.",Dravida Munetra Kazhagam,"1,12,552","83,980",74.60%,"10,890",13.00%
Nannilam,173,SC,"Kalaiarasan, A.",All India Anna Dravida Munnetra Kazhagam,"1,15,349","85,897",74.50%,"5,140",6.00%
Tiruvarur,174,SC,"Sellamuthu, M.",Communist Party Of India (MARXIST),"1,21,907","91,547",75.10%,"1,598",1.70%
Nagapattinam,175,GEN,"Umanath, R.",Communist Party Of India (MARXIST),"1,12,499","86,729",77.10%,"2,367",2.70%
Vedaranyam,176,GEN,"Manickam, M. S.",All India Anna Dravida Munnetra Kazhagam,"1,07,177","86,593",80.80%,"19,655",22.70%
Tiruthuraipundi,177,SC,"Uthirapathi, P.",Communist Party Of India (MARXIST),"1,27,669","1,02,254",80.10%,"22,706",22.20%
Mannargudi,178,GEN,"Ambikapathy, M.",Communist Party Of India,"1,21,083","92,778",76.60%,"18,322",19.70%
Pattukkottai,179,GEN,"Somasundaram, S. D.",All India Anna Dravida Munnetra Kazhagam,"1,19,533","97,072",81.20%,"10,598",10.90%
Peravurani,180,GEN,"Govendan, M. R.",All India Anna Dravida Munnetra Kazhagam,"1,15,008","96,904",84.30%,"16,377",16.90%
Orathanad,181,GEN,"Veeraswamy, T.",Indian National Congress (I),"1,21,363","93,769",77.30%,"1,619",1.70%
Thiruvonam,182,GEN,"Sivagnanam, N.",Indian National Congress (I),"1,18,707","91,518",77.10%,62,0.10%
Thanjavur,183,GEN,"Natarajan, S.",Dravida Munetra Kazhagam,"1,28,484","81,691",63.60%,979,1.20%
Tiruvaiyaru,184,GEN,"Subramanian, M.",All India Anna Dravida Munnetra Kazhagam,"1,10,334","78,156",70.80%,"9,669",12.40%
Papanasam,185,GEN,"Rajaraman, S.",Indian National Congress (I),"1,06,374","72,529",68.20%,"2,949",4.10%
Valangiman,186,SC,Gomathy,All India Anna Dravida Munnetra Kazhagam,"1,00,415","73,087",72.80%,"11,165",15.30%
Kumbakonam,187,GEN,"Pakeer Mohamed, E. S. M.",Indian National Congress (I),"1,18,130","81,577",69.10%,"9,623",11.80%
Thiruvidamarudur,188,GEN,"Ramalingam, S.",Dravida Munetra Kazhagam,"1,18,003","89,468",75.80%,"5,832",6.50%
Thirumayam,189,GEN,"Sundararaj, N.",Indian National Congress (I),"1,23,324","87,342",70.80%,223,0.30%
Kolathur,190,SC,"Marimuthu, T.",All India Anna Dravida Munnetra Kazhagam,"1,27,362","89,868",70.60%,"13,610",15.10%
Pudukkottai,191,GEN,Rajkumar Vijaya Regunatha Thondaiman,Indian National Congress (I),"1,30,814","96,889",74.10%,"1,273",1.30%
Alangudi,192,GEN,"Thirumaran, P.",All India Anna Dravida Munnetra Kazhagam,"1,32,592","1,08,046",81.50%,"14,601",13.50%
Arantangi,193,GEN,"Thirunavukkarasu, S.",All India Anna Dravida Munnetra Kazhagam,"1,36,966","1,03,790",75.80%,"14,273",13.80%
Tiruppattur,194,GEN,"Valmigi, V.",Indian National Congress (I),"1,16,068","82,778",71.30%,"14,226",17.20%
Karaikudi,195,GEN,"Chidambaram, C. T.",Dravida Munetra Kazhagam,"1,33,753","90,895",68.00%,"3,893",4.30%
Tiruvadanai,196,GEN,"Anguchamy, S.",All India Anna Dravida Munnetra Kazhagam,"1,36,737","91,454",66.90%,"1,986",2.20%
Ilayangudi,197,GEN,"Sivasamy, S.",Communist Party Of India,"1,09,607","74,799",68.20%,56,0.10%
Sivaganga,198,GEN,"Subramanian, O.",Indian National Congress (I),"1,16,688","73,360",62.90%,"11,452",15.60%
Manamadurai,199,SC,"Paramalai, K.",Independent,"1,18,672","76,938",64.80%,"1,611",2.10%
Paramakudi,200,SC,"Thavasi, R.",All India Anna Dravida Munnetra Kazhagam,"1,23,848","81,515",65.80%,"8,834",10.80%
Ramanathapuram,201,GEN,"Ramasamy, T.",All India Anna Dravida Munnetra Kazhagam,"1,21,008","82,423",68.10%,"14,232",17.30%
Kadaladi,202,GEN,"Sathiamoorthy, S.",All India Anna Dravida Munnetra Kazhagam,"1,38,693","79,329",57.20%,"3,236",4.10%
Mudukulathur,203,GEN,"Dhanukkodi Thevar,k.",Independent,"1,34,626","84,084",62.50%,"5,536",6.60%
Aruppukottai,204,GEN,"Pituhai, M.",All India Anna Dravida Munnetra Kazhagam,"1,16,985","80,387",68.70%,"11,685",14.50%
Sattur,205,GEN,"Ramachandran, K. K. Ss. R.",All India Anna Dravida Munnetra Kazhagam,"1,36,299","1,00,402",73.70%,"10,925",10.90%
Virudhunagar,206,GEN,"Sundararajan, M.",All India Anna Dravida Munnetra Kazhagam,"1,22,637","83,482",68.10%,"10,620",12.70%
