ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Sholinghur,33,GEN,S.J. Ramaswamy,All India Anna Dravida Munnetra Kazhagam,"1,12,141","68,973",61.50%,"5,649",8.20%
Ranipet,34,GEN,Duraimurugan,Dravida Munetra Kazhagam,"1,18,555","74,645",63.00%,"15,297",20.50%
Arcot,35,GEN,K.J. Uyyakondan,All India Anna Dravida Munnetra Kazhagam,"1,08,773","70,141",64.50%,"10,579",15.10%
Katpadi,36,GEN,M.A. Jayavelu,All India Anna Dravida Munnetra Kazhagam,"1,13,689","71,307",62.70%,"4,690",6.60%
Gudiyatham,37,GEN,V.K. Kothandaraman,Communist Party Of India (MARXIST),"1,06,905","70,693",66.10%,"2,544",3.60%
Pernambut,38,SC,I. Tamilarsan,All India Anna Dravida Munnetra Kazhagam,"1,03,535","67,013",64.70%,"3,663",5.50%
Vaniayambadi,39,GEN,M. Abdul Latheef,Independent,"1,09,540","62,983",57.50%,"8,734",13.90%
Natrampalli,40,GEN,T. Ambazhagan,All India Anna Dravida Munnetra Kazhagam,"1,17,533","70,778",60.20%,"16,055",22.70%
Tiruppattur,41,GEN,B.Sundaram,Dravida Munetra Kazhagam,"1,18,361","73,877",62.40%,998,1.40%
Chengam,42,SC,T. Swamikannu,All India Anna Dravida Munnetra Kazhagam,"96,111","49,928",51.90%,"10,912",21.90%
Thandarambattu,43,GEN,D. Venugopal,Dravida Munetra Kazhagam,"1,07,350","76,787",71.50%,"6,944",9.00%
Tiruvannamalai,44,GEN,P.U. Shanmugam,Dravida Munetra Kazhagam,"1,17,397","85,629",72.90%,"1,362",1.60%
Kalasapakkam,45,GEN,P.S. Thiruvengadam,Dravida Munetra Kazhagam,"1,14,750","77,184",67.30%,"1,543",2.00%
Polur,46,GEN,K.J. Subramanian,All India Anna Dravida Munnetra Kazhagam,"1,07,103","66,649",62.20%,"2,729",4.10%
Anaicut,47,GEN,R. Margabandhu,All India Anna Dravida Munnetra Kazhagam,"1,10,756","68,272",61.60%,"18,585",27.20%
Vellore,48,GEN,A.K. Ranganathan,All India Anna Dravida Munnetra Kazhagam,"1,30,154","88,017",67.60%,832,0.90%
Arni,49,GEN,V. Arjunan,All India Anna Dravida Munnetra Kazhagam,"1,11,994","83,198",74.30%,"9,222",11.10%
Cheyyar,50,GEN,Pulavar Govindan,Dravida Munetra Kazhagam,"1,09,131","78,148",71.60%,"11,919",15.30%
Vandavasi,51,SC,P. Munuswamy,All India Anna Dravida Munnetra Kazhagam,"1,19,981","69,852",58.20%,"1,830",2.60%
Peranamallur,52,GEN,P. Chandran,All India Anna Dravida Munnetra Kazhagam,"1,17,644","69,817",59.30%,"8,038",11.50%
Melmalayanur,53,GEN,P. Thangavelu Gounder,All India Anna Dravida Munnetra Kazhagam,"1,12,185","72,340",64.50%,"13,563",18.70%
Gingee,54,GEN,N. Ramachandran,Dravida Munetra Kazhagam,"1,14,821","75,918",66.10%,"3,590",4.70%
Tindivanam,55,GEN,T.R. Erajaram Reddy,Indian National Congress,"1,01,610","65,134",64.10%,"1,840",2.80%
Vanur,56,SC,M. Paramasivam,Dravida Munetra Kazhagam,"1,10,777","63,965",57.70%,"1,973",3.10%
Kandamangalam,57,SC,M. Kannan,All India Anna Dravida Munnetra Kazhagam,"1,15,036","66,846",58.10%,"2,054",3.10%
Villupuram,58,GEN,P.Krishnan,All India Anna Dravida Munnetra Kazhagam,"1,17,651","75,029",63.80%,"2,699",3.60%
Mugaiyur,59,GEN,G. Rangothaman,All India Anna Dravida Munnetra Kazhagam,"1,08,393","70,314",64.90%,"13,283",18.90%
Thirunavalur,60,GEN,L. Arumugam,All India Anna Dravida Munnetra Kazhagam,"1,01,702","70,451",69.30%,"4,955",7.00%
Ulundurpet,61,SC,V. Thulukkanam,Dravida Munetra Kazhagam,"1,25,137","72,768",58.20%,"7,577",10.40%
Nellikuppam,62,GEN,C. Govindarajan,Communist Party Of India (MARXIST),"1,06,084","71,711",67.60%,"4,817",6.70%
Cuddalore,63,GEN,K. Abdul Latheef,All India Anna Dravida Munnetra Kazhagam,"1,26,391","77,455",61.30%,"1,827",2.40%
Panruti,64,GEN,S. Ramachandran,All India Anna Dravida Munnetra Kazhagam,"1,00,977","74,255",73.50%,"15,657",21.10%
Kurinjipadi,65,GEN,M. Selvaraj,Dravida Munetra Kazhagam,"1,11,845","69,278",61.90%,"2,526",3.60%
Bhuvanagiri,66,GEN,V. Raghuraman,Dravida Munetra Kazhagam,"1,14,210","77,698",68.00%,"4,288",5.50%
Kattumannarkoil,67,SC,E. Ramalingam,Dravida Munetra Kazhagam,"1,04,851","70,200",67.00%,"6,047",8.60%
Chidambaram,68,GEN,Kaliyamoorthy Durai,Dravida Munetra Kazhagam,"1,09,561","74,156",67.70%,"3,331",4.50%
Vridhachalam,69,GEN,C. Ramanathan,All India Anna Dravida Munnetra Kazhagam,"1,24,327","77,427",62.30%,"12,107",15.60%
Mangalore,70,SC,M. Periyasamy,All India Anna Dravida Munnetra Kazhagam,"1,25,283","77,212",61.60%,"13,255",17.20%
Rishivandiam,71,GEN,M. Sundaram,Indian National Congress,"1,01,448","68,308",67.30%,"4,052",5.90%
Chinnasalem,72,GEN,M. Subramanian,All India Anna Dravida Munnetra Kazhagam,"1,11,367","69,581",62.50%,"3,223",4.60%
Sankarapuram,73,GEN,Durai Muthusamy,Indian National Congress,"1,06,711","70,017",65.60%,"2,708",3.90%
Hosur,74,GEN,N. Ramchandra Reddy,Indian National Congress,"92,284","54,411",59.00%,"17,165",31.50%
Thalli,75,GEN,D.R. Rajaram Naidu,Indian National Congress,"99,012","62,100",62.70%,"5,171",8.30%
Kaveripattinam,76,GEN,K. Samarasam,All India Anna Dravida Munnetra Kazhagam,"1,00,732","65,622",65.10%,"6,458",9.80%
Krishnagiri,77,GEN,K.R. Chinarassu,All India Anna Dravida Munnetra Kazhagam,"93,875","54,146",57.70%,"4,712",8.70%
Bargur,78,GEN,H.G. Arumugam,All India Anna Dravida Munnetra Kazhagam,"98,061","59,862",61.00%,"13,392",22.40%
Harur,79,SC,M. Annamalai,Communist Party Of India (MARXIST),"1,12,102","58,432",52.10%,"7,572",13.00%
Morappur,80,GEN,N. Kuppusamy,All India Anna Dravida Munnetra Kazhagam,"95,843","67,225",70.10%,"1,616",2.40%
Palacode,81,GEN,B.M. Krishnan,All India Anna Dravida Munnetra Kazhagam,"1,02,568","67,865",66.20%,"4,258",6.30%
Dharmapuri,82,GEN,P.K.C. Muthuswamy,Janta Party,"1,02,768","64,098",62.40%,"5,186",8.10%
Pennagaram,83,GEN,K. Appunu Gounder,Janta Party,"1,00,327","55,524",55.30%,659,1.20%
Mettur,84,GEN,K.P. Nachimuthu Gounder,All India Anna Dravida Munnetra Kazhagam,"1,23,548","71,403",57.80%,"16,786",23.50%
Taramangalam,85,GEN,R. Narayanan,Indian National Congress,"1,13,229","70,477",62.20%,19,0.00%
Omalur,86,GEN,M. Sivaperumal,All India Anna Dravida Munnetra Kazhagam,"1,02,047","62,697",61.40%,"12,518",20.00%
Yercaud,87,ST,R. Kaliappan,All India Anna Dravida Munnetra Kazhagam,"91,099","48,615",53.40%,"6,775",13.90%
Salem-I,88,GEN,S.V. Varadarajan,All India Anna Dravida Munnetra Kazhagam,"1,46,078","91,423",62.60%,"8,662",9.50%
Salem-Ii,89,GEN,M. Arumugam,Janta Party,"1,37,557","72,774",52.90%,"2,113",2.90%
Veerapandi,90,GEN,P. Venga Gounder,All India Anna Dravida Munnetra Kazhagam,"1,17,964","72,163",61.20%,"13,776",19.10%
Panamarathupatty,91,GEN,N. Subbbarayan,All India Anna Dravida Munnetra Kazhagam,"1,05,129","62,325",59.30%,"13,198",21.20%
Attur,92,GEN,C. Palanimuthu,Indian National Congress,"1,10,029","64,930",59.00%,347,0.50%
Talavasal,93,SC,S.M. Raju,All India Anna Dravida Munnetra Kazhagam,"1,33,495","69,261",51.90%,"5,677",8.20%
Rasipuram,94,GEN,P. Duraisamy,All India Anna Dravida Munnetra Kazhagam,"1,26,007","78,261",62.10%,"14,388",18.40%
Sendamangalam,95,ST,V. Chinnasamy,All India Anna Dravida Munnetra Kazhagam,"1,26,719","64,802",51.10%,"14,850",22.90%
Namakkal,96,SC,R. Arunachalam,All India Anna Dravida Munnetra Kazhagam,"1,29,817","79,770",61.40%,"14,737",18.50%
Kapilamalai,97,GEN,K.Sengodan,All India Anna Dravida Munnetra Kazhagam,"1,26,322","83,621",66.20%,"11,396",13.60%
Tiruchengode,98,GEN,C. Ponnaiyan,All India Anna Dravida Munnetra Kazhagam,"1,64,330","98,030",59.70%,"26,737",27.30%
Sankari,99,SC,P. Dhanapal,All India Anna Dravida Munnetra Kazhagam,"1,42,856","62,686",43.90%,"21,029",33.50%
Edapadi,100,GEN,I. Ganesan,All India Anna Dravida Munnetra Kazhagam,"1,34,924","81,729",60.60%,"6,807",8.30%
Mettupalayam,101,GEN,S. Palanisamy,All India Anna Dravida Munnetra Kazhagam,"1,35,224","81,757",60.50%,"5,312",6.50%
Avanashi,102,SC,S.N. Palaniswamy,Indian National Congress,"1,22,608","71,384",58.20%,"1,747",2.40%
Thondamuthur,103,GEN,K. Maruthachalam,All India Anna Dravida Munnetra Kazhagam,"1,64,344","96,645",58.80%,"7,495",7.80%
Singanallur,104,GEN,R. Venkedusamy Alias Venkedu,Communist Party Of India (MARXIST),"1,34,190","93,552",69.70%,"1,796",1.90%
Coimbatore West,105,GEN,C. Aranganaragam,All India Anna Dravida Munnetra Kazhagam,"1,24,577","76,119",61.10%,"7,349",9.70%
Coimbatore East,106,GEN,K. Ramani,Communist Party Of India (MARXIST),"1,21,664","68,770",56.50%,"2,019",2.90%
Perur,107,GEN,A. Natarajan,Dravida Munetra Kazhagam,"1,37,887","87,630",63.60%,"2,830",3.20%
Kinathukkadavu,108,GEN,K.V. Kandasamy,All India Anna Dravida Munnetra Kazhagam,"1,09,290","72,972",66.80%,"5,320",7.30%
Pollachi,109,GEN,O.P. Somasundaram,All India Anna Dravida Munnetra Kazhagam,"1,27,400","78,721",61.80%,"16,944",21.50%
Valparai,110,SC,R.S. Thangavelu,All India Anna Dravida Munnetra Kazhagam,"1,07,590","62,160",57.80%,"4,685",7.50%
Udumalpet,111,GEN,P. Kolandaivelu,All India Anna Dravida Munnetra Kazhagam,"1,22,735","85,157",69.40%,"4,118",4.80%
Dharapuram,112,SC,R. Ayyachamy,All India Anna Dravida Munnetra Kazhagam,"1,19,032","60,840",51.10%,"2,682",4.40%
Vellakoil,113,GEN,D. Ramaswamy,Indian National Congress,"1,26,181","83,308",66.00%,"10,320",12.40%
Pongalur,114,GEN,K. Nachimuthu,All India Anna Dravida Munnetra Kazhagam,"1,05,180","63,930",60.80%,"1,555",2.40%
Palladam,115,GEN,P.G. Kittu,All India Anna Dravida Munnetra Kazhagam,"1,25,740","83,411",66.30%,"6,997",8.40%
Tiruppur,116,GEN,R. Manimaran,All India Anna Dravida Munnetra Kazhagam,"1,40,401","95,743",68.20%,"14,415",15.10%
Kangayam,117,GEN,R.K.S. Dhandapani,All India Anna Dravida Munnetra Kazhagam,"1,25,068","76,343",61.00%,"13,167",17.20%
Modakurichi,118,GEN,Subbalakshmi,All India Anna Dravida Munnetra Kazhagam,"1,34,149","86,359",64.40%,"22,872",26.50%
Perundurai,119,GEN,A. Ponnusamy,All India Anna Dravida Munnetra Kazhagam,"1,27,223","77,660",61.00%,"6,042",7.80%
Erode,120,GEN,S. Muthusamy,All India Anna Dravida Munnetra Kazhagam,"1,52,823","89,078",58.30%,"17,579",19.70%
Bhavani,121,GEN,M.R. Soundarrajan,All India Anna Dravida Munnetra Kazhagam,"1,11,262","74,210",66.70%,"3,976",5.40%
Andhiyur,122,SC,F. Guruswamy,All India Anna Dravida Munnetra Kazhagam,"1,01,515","57,454",56.60%,"12,527",21.80%
Gobichettipalayam,123,GEN,N.K.K. Ramasamy,All India Anna Dravida Munnetra Kazhagam,"1,15,661","74,317",64.30%,"6,412",8.60%
Bhavanisagar,124,GEN,V.K. Chinnasawamy,All India Anna Dravida Munnetra Kazhagam,"1,16,879","72,269",61.80%,"1,447",2.00%
Sathyamangalam,125,GEN,K.A. Sengottaian,All India Anna Dravida Munnetra Kazhagam,"1,05,350","60,149",57.10%,"1,506",2.50%
Coonoor,126,SC,K. Rangasamy,Dravida Munetra Kazhagam,"1,05,169","54,344",51.70%,"9,499",17.50%
Ootacamund,127,GEN,B. Gopalan,All India Anna Dravida Munnetra Kazhagam,"1,04,067","63,431",61.00%,129,0.20%
Gudalur,128,GEN,K. Hutchi,Dravida Munetra Kazhagam,"93,409","59,346",63.50%,360,0.60%
Palani,129,SC,N. Palanivel,Communist Party Of India (MARXIST),"1,25,061","69,939",55.90%,"3,844",5.50%
Oddanchatram,130,GEN,A.P. Palaniappan,Indian National Congress,"1,23,168","73,850",60.00%,"4,581",6.20%
Periyakulam,131,GEN,K. Pannai Sethuram,All India Anna Dravida Munnetra Kazhagam,"1,13,238","69,649",61.50%,"14,323",20.60%
Theni,132,GEN,V.R. Jayaraman,All India Anna Dravida Munnetra Kazhagam,"1,19,801","77,761",64.90%,"16,573",21.30%
Bodinayakkanur,133,GEN,P. Ramadass,All India Anna Dravida Munnetra Kazhagam,"1,21,366","71,325",58.80%,"8,992",12.60%
Cumbum,134,GEN,R. Chandrasekharan,All India Anna Dravida Munnetra Kazhagam,"1,25,579","85,080",67.80%,822,1.00%
Andipatti,135,GEN,K. Kandasamy,All India Anna Dravida Munnetra Kazhagam,"1,15,363","71,743",62.20%,"8,042",11.20%
Sedapatti,136,GEN,R. Muthiah,All India Anna Dravida Munnetra Kazhagam,"1,11,328","65,408",58.80%,"11,022",16.90%
Thirumangalam,137,GEN,P.T. Saraswathy,All India Anna Dravida Munnetra Kazhagam,"1,10,967","67,253",60.60%,"1,773",2.60%
Usilampatti,138,GEN,P.K. Mookaih Thaver,All India Forward Bloc,"1,11,961","57,625",51.50%,"23,939",41.50%
Nilakottai,139,SC,A. Baluchamy,All India Anna Dravida Munnetra Kazhagam,"1,13,541","56,044",49.40%,"18,497",33.00%
Sholavandan,140,GEN,V. Balaguruva Reddiar,All India Anna Dravida Munnetra Kazhagam,"1,07,271","75,732",70.60%,"6,513",8.60%
Tirupparankundram,141,GEN,K. Kalimuthu,All India Anna Dravida Munnetra Kazhagam,"1,39,240","82,533",59.30%,"18,090",21.90%
Madurai West,142,GEN,T.P.M. Periyaswamy,All India Anna Dravida Munnetra Kazhagam,"1,40,580","75,808",53.90%,"16,131",21.30%
Madurai Central,143,GEN,N. Lokshminarayanan,All India Anna Dravida Munnetra Kazhagam,"1,37,125","74,334",54.20%,"12,979",17.50%
Madurai East,144,GEN,N. Sankariah,Communist Party Of India (MARXIST),"1,23,951","73,183",59.00%,"1,985",2.70%
Samayanallur,145,SC,S. Selvaraj,All India Anna Dravida Munnetra Kazhagam,"1,30,768","77,501",59.30%,"14,361",18.50%
Melur,146,GEN,A.M. Paramasivan,All India Anna Dravida Munnetra Kazhagam,"1,30,502","92,858",71.20%,156,0.20%
Natham,147,GEN,M. Andi Ambalam,Indian National Congress,"1,13,284","65,500",57.80%,"7,962",12.20%
Dindigul,148,GEN,N. Varadharajan,Communist Party Of India (MARXIST),"1,41,172","75,085",53.20%,"19,882",26.50%
Athoor,149,GEN,A. Vellaisamy,All India Anna Dravida Munnetra Kazhagam,"1,43,340","70,418",49.10%,"17,652",25.10%
Vedasandur,150,GEN,S.M. Vasan,All India Anna Dravida Munnetra Kazhagam,"1,46,304","73,371",50.10%,"1,854",2.50%
Aravakurichi,151,GEN,S. Sadasivam,Indian National Congress,"1,33,806","83,571",62.50%,"11,034",13.20%
Karur,152,GEN,K. Vadivel,All India Anna Dravida Munnetra Kazhagam,"1,45,681","97,345",66.80%,"11,592",11.90%
Krishnarayapuram,153,SC,P. Soundarapandian,All India Anna Dravida Munnetra Kazhagam,"1,20,967","70,188",58.00%,594,0.80%
Marungapuri,154,GEN,K. Karunaigiri Muthiah,Indian National Congress,"1,13,252","71,151",62.80%,"10,199",14.30%
Kulithalai,155,GEN,P.E. Srinivasa Reddiar,Indian National Congress,"1,19,673","81,491",68.10%,"7,647",9.40%
Thottiam,156,GEN,K.P. Kathamuthu,All India Anna Dravida Munnetra Kazhagam,"1,17,119","81,711",69.80%,990,1.20%
Uppiliapuram,157,ST,R. Periasamy,Indian National Congress,"1,36,600","86,464",63.30%,"5,706",6.60%
Musiri,158,GEN,P. Kothandarama Alias Musiri Putthan,All India Anna Dravida Munnetra Kazhagam,"1,32,057","89,373",67.70%,"14,002",15.70%
Lalgudi,159,GEN,K.N. Shanmugam,All India Anna Dravida Munnetra Kazhagam,"1,29,589","93,712",72.30%,"1,533",1.60%
Perambalur,160,SC,S.V. Ramasamy,All India Anna Dravida Munnetra Kazhagam,"1,19,195","67,477",56.60%,"20,941",31.00%
Varahur,161,SC,N. Perumal,All India Anna Dravida Munnetra Kazhagam,"1,12,363","69,649",62.00%,"12,104",17.40%
Ariyalur,162,GEN,T. Arumugam,Dravida Munetra Kazhagam,"1,07,638","80,457",74.70%,"1,255",1.60%
Andimadam,163,GEN,T. Subramanian,All India Anna Dravida Munnetra Kazhagam,"94,718","66,366",70.10%,"14,829",22.30%
Jayankondam,164,GEN,V. Karunamurthy,All India Anna Dravida Munnetra Kazhagam,"1,09,695","80,459",73.30%,"11,712",14.60%
Srirangam,165,GEN,R. Soundararajan,All India Anna Dravida Munnetra Kazhagam,"1,24,560","84,697",68.00%,"5,065",6.00%
Thiruchirappalli-I,166,GEN,C. Manickam,All India Anna Dravida Munnetra Kazhagam,"1,16,787","66,313",56.80%,"2,311",3.50%
Thiruchirappalli-Ii,167,GEN,K. Soundararajan,All India Anna Dravida Munnetra Kazhagam,"1,24,230","70,413",56.70%,"7,882",11.20%
Thiruverambur,168,GEN,K.S. Murugesan,Dravida Munetra Kazhagam,"1,21,291","77,390",63.80%,852,1.10%
Sirkali,169,SC,K. Subravelu,Dravida Munetra Kazhagam,"1,14,299","80,121",70.10%,"4,876",6.10%
Poompuhar,170,GEN,S. Ganesan,Dravida Munetra Kazhagam,"1,07,361","77,094",71.80%,"9,597",12.40%
Mayuram,171,GEN,N. Kittappa,Dravida Munetra Kazhagam,"1,06,786","76,848",72.00%,"8,592",11.20%
Kuttalam,172,GEN,R. Rajamaniam,Dravida Munetra Kazhagam,"1,10,107","78,460",71.30%,"8,263",10.50%
Nannilam,173,SC,M. Manimaran,Dravida Munetra Kazhagam,"1,12,720","81,536",72.30%,"9,109",11.20%
Tiruvarur,174,SC,M. Karunanithi Thazhai,Dravida Munetra Kazhagam,"1,19,219","87,897",73.70%,"14,254",16.20%
Nagapattinam,175,GEN,R. Umanath,Communist Party Of India (MARXIST),"1,11,891","80,275",71.70%,710,0.90%
Vedaranyam,176,GEN,M. Meenashisundaram,Dravida Munetra Kazhagam,"1,01,857","84,427",82.90%,"1,592",1.90%
Tiruthuraipundi,177,SC,P. Uthirapathy,Communist Party Of India,"1,21,892","94,971",77.90%,"18,274",19.20%
Mannargudi,178,GEN,M. Ambigapathy,Communist Party Of India,"1,19,893","91,459",76.30%,"7,417",8.10%
Pattukkottai,179,GEN,A.R. Marimuthu,Indian National Congress,"1,16,450","87,232",74.90%,911,1.00%
Peravurani,180,GEN,M.R. Govindan,All India Anna Dravida Munnetra Kazhagam,"1,10,000","84,884",77.20%,"7,950",9.40%
Orathanad,181,GEN,T.M. Thailappan,Dravida Munetra Kazhagam,"1,16,133","90,829",78.20%,"5,710",6.30%
Thiruvonam,182,GEN,Durai Govindarajan,All India Anna Dravida Munnetra Kazhagam,"1,08,939","83,055",76.20%,"2,213",2.70%
Thanjavur,183,GEN,S. Natarajan,Dravida Munetra Kazhagam,"1,26,647","81,043",64.00%,"9,756",12.00%
Tiruvaiyaru,184,GEN,G. Elangovan,Dravida Munetra Kazhagam,"1,08,342","78,193",72.20%,"5,303",6.80%
Papanasam,185,GEN,R.V. Soundararajan,Indian National Congress,"1,05,384","75,771",71.90%,"1,636",2.20%
Valangiman,186,SC,A. Chellappa,Dravida Munetra Kazhagam,"96,692","68,417",70.80%,"3,373",4.90%
Kumbakonam,187,GEN,S.R. Eradha,All India Anna Dravida Munnetra Kazhagam,"1,18,847","82,127",69.10%,"2,982",3.60%
Thiruvidamarudur,188,GEN,S. Ramalingam,Dravida Munetra Kazhagam,"1,14,391","81,984",71.70%,"1,815",2.20%
Thirumayam,189,GEN,N. Sundararaj,Indian National Congress,"1,18,468","81,030",68.40%,57,0.10%
Kolathur,190,SC,V. Chinnaiah,Indian National Congress,"1,20,684","74,965",62.10%,"4,218",5.60%
Pudukkottai,191,GEN,R. Rajkumar Vijaya Raghunatha Tondaman,Indian National Congress,"1,25,055","86,061",68.80%,"17,054",19.80%
Alangudi,192,GEN,T. Pushparaju,Indian National Congress,"1,23,846","97,613",78.80%,"10,575",10.80%
Arantangi,193,GEN,S. Thirunavukkarasu,All India Anna Dravida Munnetra Kazhagam,"1,25,574","95,833",76.30%,"10,940",11.40%
Tiruppattur,194,GEN,S. Shanmugam Koothagudi,Communist Party Of India,"1,18,036","79,737",67.60%,341,0.40%
Karaikudi,195,GEN,P. Kaliyappan,All India Anna Dravida Munnetra Kazhagam,"1,30,184","86,657",66.60%,240,0.30%
Tiruvadanai,196,GEN,Kr. Rm. Kariya Manickam Ambalam,Indian National Congress,"1,31,813","89,100",67.60%,"3,736",4.20%
Ilayangudi,197,GEN,R. Sivasamy,Communist Party Of India,"1,05,262","73,987",70.30%,790,1.10%
Sivaganga,198,GEN,O. Subramanian,Indian National Congress,"1,18,391","78,004",65.90%,"2,429",3.10%
Manamadurai,199,SC,V.M. Subramanian,All India Anna Dravida Munnetra Kazhagam,"1,16,220","72,587",62.50%,"2,055",2.80%
Paramakudi,200,SC,K. Ugrapandian,All India Anna Dravida Munnetra Kazhagam,"1,20,599","76,096",63.10%,"3,946",5.20%
Ramanathapuram,201,GEN,T. Ramaswamy,All India Anna Dravida Munnetra Kazhagam,"1,09,710","71,673",65.30%,"17,528",24.50%
Kadaladi,202,GEN,R.C. Subramanian,All India Anna Dravida Munnetra Kazhagam,"1,25,625","71,233",56.70%,"13,391",18.80%
Mudukulathur,203,GEN,S. Balakrishnan,Indian National Congress,"1,24,054","74,381",60.00%,"2,865",3.90%
Aruppukottai,204,GEN,M.G. Ramachandran,All India Anna Dravida Munnetra Kazhagam,"1,12,763","77,701",68.90%,"29,378",37.80%
Sattur,205,GEN,K.K.S.S.R. Ramachandran,All India Anna Dravida Munnetra Kazhagam,"1,28,786","90,653",70.40%,"16,942",18.70%
Virudhunagar,206,GEN,M. Sundararajan,All India Anna Dravida Munnetra Kazhagam,"1,24,439","75,201",60.40%,"10,257",13.60%
Sivakasi,207,GEN,K. Ramasamy,Janta Party,"1,23,965","79,760",64.30%,"1,772",2.20%
Srivilliputhur,208,GEN,R. Thamraikani,All India Anna Dravida Munnetra Kazhagam,"1,22,386","82,454",67.40%,"7,016",8.50%
Rajapalayam,209,SC,K. Dhanuskodi,All India Anna Dravida Munnetra Kazhagam,"1,26,020","75,384",59.80%,"3,847",5.10%
Vilathikulam,210,GEN,R.K. Perumal,All India Anna Dravida Munnetra Kazhagam,"1,14,745","67,060",58.40%,"3,383",5.00%
Ottapidaram,211,SC,O.S. Veluchami,Indian National Congress,"1,05,342","55,355",52.50%,"5,828",10.50%
